(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float32, 1, 1.746e-9, 1.531e-9, 3.0590000000000003e-9)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float32, 2, 1.749e-9, 1.746e-9, 4.031e-9)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float32, 3, 1.971e-9, 1.75e-9, 6.314e-9)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float32, 4, 2.5379999999999997e-9, 2.3599999999999997e-9, 1.0231231231231231e-8)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float32, 5, 4.662e-9, 5.839e-9, 1.6326653306613228e-8)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float32, 6, 1.3168336673346694e-8, 2.0436308926780342e-8, 3.0301810865191145e-8)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float32, 7, 2.4904618473895582e-8, 5.8220752797558497e-8, 6.62889344262295e-8)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float32, 8, 4.727631578947369e-8, 1.3551048951048953e-7, 1.4433847980997623e-7)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float32, 9, 9.591464699683878e-8, 3.607368421052632e-7, 3.6769565217391306e-7)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float32, 10, 1.9660065466448445e-7, 8.072111111111111e-7, 8.143255813953488e-7)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float32, 11, 9.01904761904762e-7, 1.7064e-6, 1.7131e-6)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float32, 12, 2.084e-6, 3.49425e-6, 3.5005e-6)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float64, 1, 1.529e-9, 1.532e-9, 3.0550000000000003e-9)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float64, 2, 1.749e-9, 1.744e-9, 3.922e-9)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float64, 3, 1.75e-9, 1.542e-9, 5.009e-9)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float64, 4, 2.42e-9, 2.362e-9, 6.977977977977978e-9)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float64, 5, 4.41e-9, 5.839e-9, 9.92992992992993e-9)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float64, 6, 1.2064064064064065e-8, 2.0436308926780342e-8, 2.4294176706827308e-8)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float64, 7, 2.3356425702811242e-8, 5.8221770091556456e-8, 6.376151484135107e-8)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float64, 8, 5.032457027300303e-8, 1.35497668997669e-7, 1.430380047505938e-7)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float64, 9, 1.0677885652642934e-7, 3.607655502392345e-7, 3.660817307692308e-7)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float64, 10, 2.2748190045248869e-7, 8.075111111111111e-7, 8.131264367816091e-7)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float64, 11, 9.855384615384616e-7, 1.7062999999999999e-6, 1.7119e-6)
(T, n, estrin_runtime, horner_runtime, polynomial_runtime) = (Float64, 12, 2.196777777777778e-6, 3.494375e-6, 3.499875e-6)
