n,T,et,ht,pt
1,Float32,1.531e-9,1.531e-9,2.8490000000000004e-9
2,Float32,1.746e-9,1.529e-9,3.922e-9
3,Float32,1.7529999999999998e-9,1.536e-9,4.814e-9
4,Float32,2.418e-9,2.3660000000000003e-9,7.189189189189189e-9
5,Float32,4.47e-9,5.835e-9,9.90990990990991e-9
6,Float32,1.3640280561122245e-8,2.0416666666666668e-8,2.4324297188755018e-8
7,Float32,2.4573293172690763e-8,5.8221770091556456e-8,6.411156601842375e-8
8,Float32,4.800404858299595e-8,1.3555594405594405e-7,1.4507270560190705e-7
9,Float32,9.626659641728135e-8,3.6048325358851675e-7,3.6605288461538463e-7
10,Float32,2.0199316239316237e-7,8.08488888888889e-7,8.132988505747127e-7
11,Float32,9.028095238095239e-7,1.707e-6,1.712e-6
12,Float32,2.081e-6,3.494375e-6,3.500375e-6
1,Float64,1.532e-9,1.5649999999999999e-9,2.838e-9
2,Float64,1.787e-9,1.531e-9,4.243e-9
3,Float64,1.7569999999999998e-9,1.745e-9,6.091999999999999e-9
4,Float64,2.409e-9,2.361e-9,1.0228228228228229e-8
5,Float64,4.367e-9,5.969e-9,1.6554108216432865e-8
6,Float64,1.202102102102102e-8,2.0436308926780342e-8,3.05251509054326e-8
7,Float64,2.3306224899598395e-8,5.821973550356053e-8,6.563217213114754e-8
8,Float64,4.5876767676767674e-8,1.3577076023391814e-7,1.4433610451306412e-7
9,Float64,9.411356466876971e-8,3.6039234449760766e-7,3.676328502415459e-7
10,Float64,2.1118198198198197e-7,8.074444444444445e-7,8.144186046511629e-7
11,Float64,9.834285714285715e-7,1.7065999999999999e-6,1.7127000000000001e-6
12,Float64,2.197e-6,3.49425e-6,3.5015e-6
